"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=seminar_test.DiningPhilosophers"
"main", "5", "seminar_test/DiningPhilosophers.java:6", "Method Call", " caller=SYSTEM, target=seminar_test.DiningPhilosophers#main:1"
"main", "6", "seminar_test/DiningPhilosophers.java:5", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "seminar_test/DiningPhilosophers.java:5", "New Object", " object=java.lang.String[]:1"
"main", "9", "seminar_test/DiningPhilosophers.java:5", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, args=java.lang.String[]:1"
"main", "10", "seminar_test/DiningPhilosophers.java:6", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=6"
"main", "11", "SYSTEM", "Type Load", " class=seminar_test.Fork"
"main", "12", "seminar_test/DiningPhilosophers.java:6", "New Object", " object=seminar_test.Fork:1"
"main", "13", "seminar_test/DiningPhilosophers.java:6", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:1#Fork:1"
"main", "14", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "15", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "16", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "17", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:1, taken=false"
"main", "18", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "19", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:1#Fork:1, value=<void>"
"main", "20", "seminar_test/DiningPhilosophers.java:6", "Method Returned", " "
"main", "21", "seminar_test/DiningPhilosophers.java:6", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=6"
"main", "22", "seminar_test/DiningPhilosophers.java:6", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f1=seminar_test.Fork:1"
"main", "23", "seminar_test/DiningPhilosophers.java:7", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=7"
"main", "24", "seminar_test/DiningPhilosophers.java:7", "New Object", " object=seminar_test.Fork:2"
"main", "25", "seminar_test/DiningPhilosophers.java:7", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:2#Fork:2"
"main", "26", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "27", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "28", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "29", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:2, taken=false"
"main", "30", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "31", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:2#Fork:2, value=<void>"
"main", "32", "seminar_test/DiningPhilosophers.java:7", "Method Returned", " "
"main", "33", "seminar_test/DiningPhilosophers.java:7", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=7"
"main", "34", "seminar_test/DiningPhilosophers.java:7", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f2=seminar_test.Fork:2"
"main", "35", "seminar_test/DiningPhilosophers.java:8", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=8"
"main", "36", "seminar_test/DiningPhilosophers.java:8", "New Object", " object=seminar_test.Fork:3"
"main", "37", "seminar_test/DiningPhilosophers.java:8", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:3#Fork:3"
"main", "38", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "39", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "40", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "41", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:3, taken=false"
"main", "42", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "43", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:3#Fork:3, value=<void>"
"main", "44", "seminar_test/DiningPhilosophers.java:8", "Method Returned", " "
"main", "45", "seminar_test/DiningPhilosophers.java:8", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=8"
"main", "46", "seminar_test/DiningPhilosophers.java:8", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f3=seminar_test.Fork:3"
"main", "47", "seminar_test/DiningPhilosophers.java:9", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=9"
"main", "48", "seminar_test/DiningPhilosophers.java:9", "New Object", " object=seminar_test.Fork:4"
"main", "49", "seminar_test/DiningPhilosophers.java:9", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:4#Fork:4"
"main", "50", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "51", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "52", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "53", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:4, taken=false"
"main", "54", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "55", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:4#Fork:4, value=<void>"
"main", "56", "seminar_test/DiningPhilosophers.java:9", "Method Returned", " "
"main", "57", "seminar_test/DiningPhilosophers.java:9", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=9"
"main", "58", "seminar_test/DiningPhilosophers.java:9", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f4=seminar_test.Fork:4"
"main", "59", "seminar_test/DiningPhilosophers.java:10", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=10"
"main", "60", "seminar_test/DiningPhilosophers.java:10", "New Object", " object=seminar_test.Fork:5"
"main", "61", "seminar_test/DiningPhilosophers.java:10", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Fork:5#Fork:5"
"main", "62", "seminar_test/DiningPhilosophers.java:79", "Method Entered", " "
"main", "63", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "64", "seminar_test/DiningPhilosophers.java:79", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=79"
"main", "65", "seminar_test/DiningPhilosophers.java:79", "Field Write", " context=seminar_test.Fork:5, taken=false"
"main", "66", "seminar_test/DiningPhilosophers.java:78", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=78"
"main", "67", "seminar_test/DiningPhilosophers.java:78", "Method Exit", " returner=seminar_test.Fork:5#Fork:5, value=<void>"
"main", "68", "seminar_test/DiningPhilosophers.java:10", "Method Returned", " "
"main", "69", "seminar_test/DiningPhilosophers.java:10", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=10"
"main", "70", "seminar_test/DiningPhilosophers.java:10", "Variable Write", " context=seminar_test.DiningPhilosophers#main:1, f5=seminar_test.Fork:5"
"main", "71", "seminar_test/DiningPhilosophers.java:12", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=12"
"main", "72", "SYSTEM", "Type Load", " class=seminar_test.State"
"main", "73", "SYSTEM", "Type Load", " class=seminar_test.Philosopher"
"main", "74", "seminar_test/DiningPhilosophers.java:12", "New Object", " object=seminar_test.Philosopher:1"
"main", "75", "seminar_test/DiningPhilosophers.java:12", "Method Call", " caller=seminar_test.DiningPhilosophers#main:1, target=seminar_test.Philosopher:1#seminar_test.Philosopher:1"
"main", "76", "seminar_test/DiningPhilosophers.java:54", "Method Entered", " "
"main", "77", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, name=""P1"""
"main", "78", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, right=seminar_test.Fork:2"
"main", "79", "seminar_test/DiningPhilosophers.java:54", "Variable Write", " context=seminar_test.Philosopher:1#seminar_test.Philosopher:1, left=seminar_test.Fork:1"
"main", "80", "seminar_test/DiningPhilosophers.java:54", "Line Step", " file=seminar_test/DiningPhilosophers.java, line=54"
"main", "81", "seminar_test/DiningPhilosophers.java:54", "Method Call", " caller=seminar_test.Philosopher:1#seminar_test.Philosopher:1, target=seminar_test.State:1#State:1"
"main", "82", "seminar_test/DiningPhilosophers.java:26", "Method Entered", " "
